Tempo;SOBRADINHO;ITAPARICA;MOXOTO;P. AFONSO 4;EMBORCAÇÃO;CORUMBA;ITUMBIARA;C. DOURADA;SÃO SIMÃO;BOA ESPERANÇA;TUCURUI;SERRA DA MESA;LAJEADO;ESTREITO;MARIMBONDO;AGUA VERMELHA;PORTO COLOMBIA;VOLTA GRANDE;FURNAS;SANTO ANTONIO;JIRAU;SAMUEL;BALBINA;JUPIÁ;PORTO PRIMAVERA;ILHA SOLTEIRA;ITAIPU;BARRA GRANDE;ITÁ;CAMPOS NOVOS;MACHADINHO;FOZ CHAPECO;G. B. MUNHOZ (FOZ DO AREIA);SALTO CAXIAS;SALTO OSORIO;SALTO SANTIAGO;SEGREDO
01/11/2020;1654;2564;1771;1634;328;189;1525;1693;2191;311;4518;387;1456;2524;1242;1418;1123;1219;311;4495;4439;92;537;4964;5462;4124;7832;40;236;60;196;375;179;443;397;246;226
01/12/2020;1407;1808;2162;1864;380;208;1256;990;1531;303;4814;376;1458;2545;1687;1678;1300;1205;1037;11017;11173;198;653;4392;5137;3413;7574;113;340;159;290;464;747;817;632;611;532
01/01/2021;1676;1040;979;980;316;370;905;670;1352;356;7075;477;1216;2615;1557;1613;1019;985;1060;23667;23851;453;748;4112;5161;3160;9255;461;717;359;529;834;951;1238;760;1082;834
01/02/2021;1523;785;861;853;407;500;900;516;1351;579;13373;1446;2485;4834;1054;1272;648;599;983;32684;32677;1008;775;4197;5069;2834;9920;217;671;360;501;852;800;1050;619;1149;914
01/03/2021;2471;802;844;834;322;504;1020;469;1608;605;24327;1108;3602;6944;827;1020;513;485;770;35514;35211;1085;1063;3781;4474;3097;7703;126;411;137;378;482;507;863;754;671;639
01/04/2021;1141;1166;1051;1047;201;348;728;1032;1603;456;17606;525;1317;3438;660;828;476;432;374;35646;35408;890;1264;4035;4484;2821;6238;47;331;50;222;315;209;420;364;336;309
01/05/2021;773;1209;1014;1013;160;242;596;1371;1856;320;10382;307;843;2383;531;709;407;422;284;26013;25642;377;1734;3782;4162;2941;5869;98;196;49;135;274;150;307;264;173;162
01/06/2021;621;1126;935;934;143;177;687;1026;1357;236;4327;216;843;1621;1074;1038;956;1010;292;19434;18590;172;1378;3031;3619;2331;5704;319;549;217;448;664;257;488;417;389;400
01/07/2021;528;918;814;814;131;145;649;563;780;201;3027;128;838;1451;871;845;782;850;229;10948;10578;61;965;2406;2824;1597;4688;159;796;184;657;1058;267;992;898;788;735
01/08/2021;492;905;840;837;158;157;685;771;930;177;2213;52;856;1305;926;1053;826;891;208;4777;4599;24;812;3166;3603;2067;4946;98;581;66;534;746;199;1120;1030;802;725
01/09/2021;502;1148;1310;1286;195;172;588;619;746;174;2131;55;880;1395;524;691;469;514;165;3772;3690;35;643;4469;5010;2236;6993;470;896;328;781;1128;311;894;734;503;472
01/10/2021;616;1314;979;980;161;140;512;466;725;216;2094;182;726;1334;696;736;485;461;614;3757;3690;48;592;3405;4257;1985;8744;324;1099;373;687;1488;852;1152;571;700;548
01/11/2021;1264;747;992;989;269;237;686;495;1172;430;5763;540;1854;3117;980;1105;748;750;708;7263;7325;271;878;3627;4179;2824;7104;107;551;204;436;661;386;540;351;555;473
01/12/2021;2360;812;776;776;401;488;882;532;1264;821;12955;1507;5599;6693;775;1029;460;443;857;17813;17986;606;974;3575;4199;3008;6298;56;459;95;311;526;138;548;485;449;430
01/01/2022;4508;2097;2138;1287;1007;623;1214;596;1981;1309;30985;2297;10152;13405;1215;1061;702;570;2002;19692;19375;535;663;3433;4015;3264;5665;73;349;85;269;461;289;618;554;493;505
01/02/2022;5485;4145;3965;1647;993;746;1509;656;2198;666;26239;1924;5754;7977;2090;1652;1064;902;2076;24979;25005;1186;1069;3315;4283;3114;6037;41;341;83;280;409;283;579;522;517;493
01/03/2022;5785;3417;3098;1493;581;581;1048;691;1859;746;27899;1161;4241;7077;1462;1750;1018;939;786;27074;27087;1386;1804;4293;5024;4486;7005;209;386;240;354;509;646;532;289;378;320
01/04/2022;2074;1981;1623;1450;303;275;636;493;1213;598;23291;565;2037;4652;927;952;592;508;640;27010;26572;790;1979;3337;4051;2582;7188;231;768;222;409;1039;741;988;373;922;753
01/05/2022;1484;1242;1155;1111;224;161;469;535;1006;357;10342;323;991;2249;798;1138;518;493;398;17398;16832;321;2066;3313;3801;2941;6188;979;2262;676;1641;2998;753;1417;936;1043;872
01/06/2022;991;1057;1104;1098;189;153;451;745;1197;309;4973;222;822;1673;1008;1267;812;815;337;12549;12234;168;1423;3091;3686;2604;6631;1161;3235;1033;2542;4291;1276;2986;2363;2174;1626
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
